5000
1,18
1,33
1,50
1,54
1,56
1,80
1,85
1,110
1,167
1,175
1,182
1,218
1,252
1,335
1,368
1,369
1,371
1,507
1,561
1,563
1,659
1,665
1,688
1,708
1,872
1,874
1,891
1,915
1,954
1,987
1,1020
1,1023
1,1027
1,1032
1,1040
1,1045
1,1078
1,1084
1,1088
1,1089
1,1090
1,1124
1,1156
1,1163
1,1245
1,1256
1,1297
1,1331
1,1362
1,1379
1,1389
1,1390
1,1423
1,1436
1,1440
1,1479
1,1522
1,1524
1,1527
1,1535
1,1553
1,1643
1,1656
1,1711
1,1760
1,1768
1,1776
1,1815
1,1828
1,1830
1,1851
1,1868
1,1875
1,1917
1,1924
1,2007
1,2018
1,2044
1,2122
1,2129
1,2153
1,2171
1,2209
1,2212
1,2222
1,2231
1,2233
1,2235
1,2239
1,2248
1,2258
1,2309
1,2348
1,2358
1,2406
1,2409
1,2419
1,2499
1,2501
1,2535
1,2538
1,2587
1,2599
1,2607
1,2644
1,2649
1,2653
1,2663
1,2667
1,2671
1,2684
1,2689
1,2701
1,2705
1,2746
1,2834
1,2847
1,2870
1,2925
1,2932
1,2946
1,3028
1,3047
1,3203
1,3217
1,3221
1,3290
1,3336
1,3376
1,3400
1,3507
1,3528
1,3571
1,3579
1,3583
1,3623
1,3701
1,3842
1,3871
1,3875
1,3881
1,3898
1,3901
1,3971
1,3982
1,4036
1,4046
1,4067
1,4234
1,4235
1,4243
1,4268
1,4291
1,4308
1,4322
1,4378
1,4401
1,4408
1,4487
1,4490
1,4496
1,4550
1,4583
1,4585
1,4611
1,4638
1,4645
1,4646
1,4694
1,4708
1,4755
1,4794
1,4839
1,4847
1,4865
1,4956
1,4984
2,15
2,26
2,73
2,82
2,117
2,171
2,178
2,207
2,219
2,228
2,306
2,322
2,361
2,393
2,430
2,434
2,471
2,568
2,576
2,580
2,640
2,706
2,722
2,751
2,787
2,789
2,791
2,839
2,859
2,920
2,941
2,963
2,965
2,997
2,1003
2,1005
2,1038
