what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764066473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335764092410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764103543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764107802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764146967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764148565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764164282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764193100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764194276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764221915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335764314495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335764337292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335764393553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764424680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764467117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764504531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764525909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335764640904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335765098131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335765107980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335765109400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335765127898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335765359559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335765377143
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335765377287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1335765512408
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335765514131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1335765518057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335765519955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335765613216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335765623488
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1335765641804
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335765642071
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1335765643749
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335765643931
